Project,SFCS,,,,,,,,,,
Reference Documents,,,,,,,,,,,
Author,"Dinesh,Priya",,,,,,,,,,
Reviewer,,,,,,,,,,,
Module,Lay Plan Preparation,,,,,,,,,,
Test Case Count,116,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Test Case ID,Test Scenario,Test Description,Test Steps,Test Data,Expected Output,Actual Output,QA Status,GIT Id,Result (Pass/Fail),Clarifications,QA Remarks/Comments
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,12.Check the controls of allocation,,,,,,,,
LPP_074,Verifying the functionality of lay plan preparation in Cutting,"Check the functionality of Controls in allocation,in lay plan preparation form",1.Open Browser and enter url,http://localhost/sfcsui,Order Allocation  Form should display,,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"11.Click on update link in controls, in allocation",,,,,,,,
LPP_075,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Click here to Go Back link,1.Open Browser and enter url,http://localhost/sfcsui,"When we click on, click here to go back link,it should goes to lay plan preparation form",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"11.Click on update link in controls, in allocation",,,,,,,,
,,,12.Order Allocation Form display,,,,,,,,
,,,"13.Click on, click here to go back link",,,,,,,,
LPP_076,Verifying the functionality of lay plan preparation in Cutting,Check the fields in Order Allocation Form,1.Open Browser and enter url,http://localhost/sfcsui,"These fields should display:New Ratio,Total No.Of Plies,Max Plies Per Cut,Sizes,Allocated Qty,Completed,Balance,Ratio,Remarks,Enable checkbox,Update Button",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,12.Lay plan preparation form display,,,,,,,,
,,,"13.Click on update link in controls, in allocation",,,,,,,,
,,,14.Order Allocation Form display,,,,,,,,
LPP_077,Verifying the functionality of lay plan preparation in Cutting,Check the textboxes are editabe or not in Order Allocation Form,1.Open Browser and enter url,http://localhost/sfcsui,"Except Total No.of Plies,Max Plies Per Cut and Ratio, remaining all are not editable",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in allocation",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Click on textboxes in Order Allocation Form,,,,,,,,
LPP_078,Verifying the functionality of lay plan preparation in Cutting,Check the values in remarks drop down,1.Open Browser and enter url,http://localhost/sfcsui,"These values should display:Normal,Pilot",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in allocation",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Click on remarks drop down,,,,,,,,
LPP_079,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Update Button,1.Open Browser and enter url,http://localhost/sfcsui,"By default,status of update button should be disable",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in allocation",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Check the status of update button,,,,,,,,
LPP_080,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of total no of plies and max plies per cut and ratio textboxes,1.Open Browser and enter url,http://localhost/sfcsui,"Popup message should display as""Please enter valid values""",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in allocation",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,"14.Enter Negative values,Alphabets,special characters in textboxes",,,,,,,,
LPP_081,Verifying the functionality of lay plan preparation in Cutting,Check the values of total no of plies and max plies per cut and ratio textboxes,1.Open Browser and enter url,http://localhost/sfcsui,"By default,the values in those fields are zero",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in allocation",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.check the default values of textboxes,,,,,,,,
LPP_082,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of total no of plies textbox,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Please fill max plies per cut""",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Enter value in Total Number of Plies,33,,,,,,,
,,,15.By default remarks drop down value is Normal,,,,,,,,
,,,16.Click on enable check box,,,,,,,,
,,,17.Click on update button,,,,,,,,
LPP_083,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of max plies per cut textbox,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Max plies exceeding Total plies""",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Enter value in max Plies per cut,33,,,,,,,
,,,15.By default remarks drop down value is Normal,,,,,,,,
,,,16.Click on enable check box,,,,,,,,
LPP_084,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of  total no of plies and max plies per cut textboxes,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Max plies exceeding Total plies""",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.By default remarks drop down value is Normal,,,,,,,,
,,,15.Click on Enable check box,,,,,,,,
,,,16.Click on Update Button,,,,,,,,
LPP_085,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of  ratio textbox,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Please fill the values in ratio fields""",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Enter values in Total No.of Plies,120,,,,,,,
,,,15.Enter values in Max Plies per cut,60,,,,,,,
,,,16.By default remarks drop down value is Normal,,,,,,,,
,,,17.Click on enable check box,,,,,,,,
,,,18.Click on Update Button,,,,,,,,
LPP_086,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of  Order Allocation Form,1.Open Browser and enter url,http://localhost/sfcsui,Page should be redirected to lay plan preparation form and information should be updated in allocated filed and ratios field,,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Enter values in Total No.of Plies,,,,,,,,
,,,15.Enter values in  Plies per cut,,,,,,,,
,,,16.Enter  values in ratio,,,,,,,,
,,,17.By default remarks drop down value is Normal,,,,,,,,
,,,18.Click on enable check box,,,,,,,,
,,,19.Click on Update Button,,,,,,,,
LPP_087,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of  Order Allocation Form,1.Open Browser and enter url,http://localhost/sfcsui,Page should be redirected to lay plan preparation form and information should be updated in allocated filed and ratios field ,,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Enter values in Total No.of Plies,,,,,,,,
,,,15.Enter values in  Plies per cut,,,,,,,,
,,,16.Enter  values in ratio,,,,,,,,
,,,17.Select Pilot value from remarks drop down,,,,,,,,
,,,18.Click on enable check box,,,,,,,,
,,,19.Click on Update Button,,,,,,,,
LPP_088,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of  New ratio in Order Allocation Form,1.Open Browser and enter url,http://localhost/sfcsui,"Page should be redirected to lay plan preparation form and information should be updated in allocated filed and ratios field,new ratio values should increase in order allocation form,new ratio values should increase in order allocation form",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Enter values in Total No.of Plies,,,,,,,,
,,,15.Enter values in  Plies per cut,,,,,,,,
,,,16.Enter  values in ratio,,,,,,,,
,,,17.Select Pilot value from remarks drop down,,,,,,,,
,,,18.Click on enable check box,,,,,,,,
,,,19.Click on Update Button,,,,,,,,
LPP_089,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of total no of plies textbox,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Please fill max plies per cut""",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Enter value in Total Number of Plies,33,,,,,,,
,,,15.Select Pilot value from remarks drop down,,,,,,,,
,,,16.Click on enable check box,,,,,,,,
,,,17.Click on update button,,,,,,,,
LPP_090,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of max plies per cut textbox,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Max plies exceeding Total plies""",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Enter value in max Plies per cut,33,,,,,,,
,,,15.Select Pilot value from remarks drop down,,,,,,,,
,,,16.Click on enable check box,,,,,,,,
LPP_091,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of  total no of plies and max plies per cut textboxes,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Max plies exceeding Total plies""",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Select Pilot value from remarks drop down,,,,,,,,
,,,15.Click on Enable check box,,,,,,,,
,,,16.Click on Update Button,,,,,,,,
LPP_092,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of  ratio textbox,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Please fill the values in ratio field""",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Enter values in Total No.of Plies,120,,,,,,,
,,,15.Enter values in Max Plies per cut,60,,,,,,,
,,,16.Select Pilot value from remarks drop down,,,,,,,,
,,,17.Click on enable check box,,,,,,,,
,,,18.Click on Update Button,,,,,,,,
LPP_093,Verifying the functionality of lay plan preparation in Cutting,"Check the functionality of  Update link in controls,in allocation",1.Open Browser and enter url,http://localhost/sfcsui,"Page should be redirected to lay plan preparation form.When the values in cuttable and allocated fields are equal,then status should changes to green color tick mark and update link should changes to updated",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,14.Enter values in Total No.of Plies,,,,,,,,
,,,15.Enter values in  Plies per cut,,,,,,,,
,,,16.Enter  values in ratio,,,,,,,,
,,,17.By default remarks drop down value is Normal,,,,,,,,
,,,18.Click on enable check box,,,,,,,,
,,,19.Click on Update Button,,,,,,,,
LPP_094,Verifying the functionality of lay plan preparation in Cutting,"Check the fields in Ratios,in lay plan preparation form",1.Open Browser and enter url,http://localhost/sfcsui,"These fields should display in ratios:TID,Allocate Ref,Ratio,Category,Total Plies,Max plies/Cut,Sizes,Ratio Total,Controls,Current Status,Remarks",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,12.Check for  the fields in Ratios,,,,,,,,
LPP_095,Verifying the functionality of lay plan preparation in Cutting,Check for the default values in Ratios fields,1.Open Browser and enter url,http://localhost/sfcsui,"By default,in all fields values should be null",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,12.Check for  the values in Ratios  fields,,,,,,,,
LPP_096,Verifying the functionality of lay plan preparation in Cutting,Check for the functionality of Ratios,1.Open Browser and enter url,http://localhost/sfcsui,Updated values should be avaliable in Ratios and Current status should changes to New and remarks filed also updated and edit option should be available in controls,,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,12.Update the values in allocation,,,,,,,,
LPP_097,Verifying the functionality of lay plan preparation in Cutting,Check for the functionality of Controls in Ratios,1.Open Browser and enter url,http://localhost/sfcsui,When we click on edit option order allocation form should display,,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,12.Click on edit option in controls,,,,,,,,
LPP_098,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Click here to Go Back link,1.Open Browser and enter url,http://localhost/sfcsui,"When we click on, click here to go back link,it should goes to lay plan preparation form",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Select value from Select Style drop down,H18122AA,,,,,,,
,,,6.Select value from Select Schedule drop down,427011C,,,,,,,
,,,7.Select value from Select Color drop down,75-103,,,,,,,
,,,8.MO Status as Yes,,,,,,,,
,,,9.Click on submit button,,,,,,,,
,,,10.Lay plan preparation form display,,,,,,,,
,,,"11.Click on Edit link in controls, in Ratios",,,,,,,,
,,,12.Order Allocation Form display,,,,,,,,
,,,"13.Click on, click here to go back link",,,,,,,,
LPP_099,Verifying the functionality of lay plan preparation in Cutting,Check the fields in Order Allocation Form,1.Open Browser and enter url,http://localhost/sfcsui,"These fields should display:New Ratio,Total No.Of Plies,Max Plies Per Cut,Sizes,Allocated Qty,Completed,Balance,Ratio,Remarks,Enable checkbox,Update Button",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Select value from Select Style drop down,H18122AA,,,,,,,
,,,6.Select value from Select Schedule drop down,427011C,,,,,,,
,,,7.Select value from Select Color drop down,75-103,,,,,,,
,,,8.MO Status as Yes,,,,,,,,
,,,9.Click on submit button,,,,,,,,
,,,10.Lay plan preparation form display,,,,,,,,
,,,"11.Click on Edit link in controls, in Ratios",,,,,,,,
,,,12.Order Allocation Form display,,,,,,,,
LPP_100,Verifying the functionality of lay plan preparation in Cutting,Check the textboxes are editabe or not in Order Allocation Form,1.Open Browser and enter url,http://localhost/sfcsui,"Except Total No.of Plies,Max Plies Per Cut and Ratio, remaining all are not editable",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Select value from Select Style drop down,H18122AA,,,,,,,
,,,6.Select value from Select Schedule drop down,427011C,,,,,,,
,,,7.Select value from Select Color drop down,75-103,,,,,,,
,,,8.MO Status as Yes,,,,,,,,
,,,9.Click on submit button,,,,,,,,
,,,10.Lay plan preparation form display,,,,,,,,
,,,"11.Click on Edit link in controls, in Ratios",,,,,,,,
,,,12.Order Allocation Form display,,,,,,,,
,,,13.Click on textboxes in Order Allocation Form,,,,,,,,
LPP_101,Verifying the functionality of lay plan preparation in Cutting,Check the values in remarks drop down,1.Open Browser and enter url,http://localhost/sfcsui,"These values should display:Normal,Pilot",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Select value from Select Style drop down,H18122AA,,,,,,,
,,,6.Select value from Select Schedule drop down,427011C,,,,,,,
,,,7.Select value from Select Color drop down,75-103,,,,,,,
,,,8.MO Status as Yes,,,,,,,,
,,,9.Click on submit button,,,,,,,,
,,,10.Lay plan preparation form display,,,,,,,,
,,,"11.Click on Edit link in controls, in Ratios",,,,,,,,
,,,12.Order Allocation Form display,,,,,,,,
,,,13.Click on remarks drop down,,,,,,,,
LPP_102,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Update Button,1.Open Browser and enter url,http://localhost/sfcsui,"By default,status of update button should be disable",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Select value from Select Style drop down,H18122AA,,,,,,,
,,,6.Select value from Select Schedule drop down,427011C,,,,,,,
,,,7.Select value from Select Color drop down,75-103,,,,,,,
,,,8.MO Status as Yes,,,,,,,,
,,,9.Click on submit button,,,,,,,,
,,,10.Lay plan preparation form display,,,,,,,,
,,,"11.Click on Edit link in controls, in Ratios",,,,,,,,
,,,12.Order Allocation Form display,,,,,,,,
,,,13.Check the status of update button,,,,,,,,
LPP_103,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of total no of plies and max plies per cut and ratio textboxes,1.Open Browser and enter url,http://localhost/sfcsui,"Popup message should display as""Please enter valid values""",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on Edit link in controls, in Ratios",,,,,,,,
,,,13.Order Allocation Form display,,,,,,,,
,,,"14.Enter Negative values,Alphabets,special characters in textboxes",,,,,,,,
